label,z,x,y,area,vec_0,vec_1,vec_2,theta,psi,eccentricity,percentile_intensity,area_volume,mean_intensity_0,percentile_intensity_0,area_volume_0,mean_intensity_1,percentile_intensity_1,area_volume_1,mean_intensity_2,percentile_intensity_2,area_volume_2
209,115,321,156,8151,0.9748027515030107,0.04608512457726005,-0.2182561727760723,2.9334978237891924,1.345835075873179,3.449123617492962,97.0,53599.0,0.0,0.0,53599.0,72.17895234363826,94.0,53599.0,87.87312574239569,97.0,53599.0
210,118,366,375,10296,-0.9789713307713633,0.09243222421681564,-0.18185548508109012,2.6713486078855384,-1.3653563786210565,3.980331366021585,65.0,77617.0,0.0,0.0,77617.0,23.00421728916775,35.0,77617.0,37.10059222421205,65.0,77617.0
211,121,148,342,6480,0.9794895640249783,-0.2013410515799682,-0.00787241480296269,-1.6098763188234513,1.3679124437555394,2.87763871876794,835.0,133910.0,0.0,0.0,133910.0,88.9366838423817,129.0,133910.0,574.8915291364847,835.0,133910.0
215,118,277,244,7059,0.9416529518780822,0.033570371193597674,-0.33490707427168237,3.0416884935107023,1.227507987987217,3.7247966112078315,677.0,58274.0,0.0,0.0,58274.0,180.350241960394,241.0,58274.0,524.7006784043198,677.0,58274.0
216,118,312,282,7023,-0.9871790328502249,-0.12863561595947254,-0.09450098098761636,-2.2043949093176094,-1.4104937541214801,5.772988558335592,230.0,60702.0,0.0,0.0,60702.0,74.19746191778415,81.0,60702.0,191.62386192657024,230.0,60702.0
219,120,218,206,8089,-0.8546614809715162,0.45174664184435614,-0.2558881093875235,2.086174987643608,-1.024898470024375,4.033445063423381,280.0,63171.0,0.0,0.0,63171.0,84.64321181132692,98.0,63171.0,198.8222391076074,280.0,63171.0
222,120,226,391,5853,-0.9573931198379471,-0.1872310088748552,-0.21987033315721888,-2.43619829759948,-1.277835840441847,2.505753992851689,71.0,27644.0,0.0,0.0,27644.0,110.33509381179762,177.0,27644.0,64.8536632421743,71.0,27644.0
223,120,270,76,10321,-0.9242461605452771,0.18242068467655922,0.3353978660031238,0.49814275399054386,-1.1790564009794555,4.1414977816908705,3727.0,113596.0,0.0,0.0,113596.0,282.2176485087503,458.0,113596.0,2511.755930373135,3727.0,113596.0
224,116,310,176,5404,-0.7583189638630362,0.5224133458218381,0.389918767377159,0.9296161764275929,-0.8607304963850965,3.0999372846360007,402.0,77450.0,0.0,0.0,77450.0,119.91018291370777,180.0,77450.0,221.70186356789327,402.0,77450.0
225,118,421,208,12313,0.8472946516709953,-0.001927896889086964,0.5311196253795486,-0.0036298572481977295,1.0108707696275647,3.634064437190894,29.0,116973.0,0.0,0.0,116973.0,16.721687910885418,18.0,116973.0,23.84365622836039,29.0,116973.0
226,122,228,411,17806,0.9675853324614544,0.2525387897526154,0.0016685549858355294,1.5641892993819564,1.3154874329134278,3.4142776779694337,139.0,107761.0,0.0,0.0,107761.0,67.48142339683807,100.0,107761.0,70.32125104011037,139.0,107761.0
227,122,261,273,4017,0.7388260120884358,-0.6114751119134,0.28325661752550957,-1.1369909199388157,0.8313266005763602,2.324532438467334,340.0,62082.0,0.0,0.0,62082.0,96.24250185238877,112.0,62082.0,297.55658645017877,340.0,62082.0
229,123,295,413,9815,-0.9956567818828079,0.029491733515683856,0.0883052113128684,0.3223279489664943,-1.4775615083257783,3.805127134606479,230.0,130609.0,0.0,0.0,130609.0,44.647415823820204,72.0,130609.0,101.65463584694265,230.0,130609.0
230,123,395,243,11684,-0.05270816976492923,-0.8433971936401272,0.5346990018692654,-1.0057637965944,-0.05273260553658816,3.9569604077312617,58.0,70744.0,0.0,0.0,70744.0,20.829285875833992,25.0,70744.0,35.06494308115647,58.0,70744.0
231,123,180,304,5490,0.9882783155282951,-0.00851871716354627,0.15242507180396095,-0.055829820935996,1.4175340942021932,4.062122414984908,507.0,47858.0,0.0,0.0,47858.0,105.55604078732918,136.0,47858.0,316.52350007661556,507.0,47858.0
236,125,314,354,7557,-0.6026848534828215,-0.5883426079902468,0.5390954859814951,-0.8290509697544837,-0.6468614163417934,2.7014673737394332,691.0,51304.0,0.0,0.0,51304.0,96.85509901762046,265.0,51304.0,348.29610426737355,691.0,51304.0
237,126,351,331,8402,-0.8984818477558186,0.33224685278382093,-0.2869536514291735,2.2831766594744463,-1.116299061828132,3.949895204253561,324.0,38399.0,0.0,0.0,38399.0,64.79150498710904,106.0,38399.0,168.15851107233695,324.0,38399.0
238,126,209,90,10373,-0.97860822335194,0.19903402784389523,0.052071114336021976,1.3149122357206042,-1.363583958682194,3.447188152725261,287.0,127222.0,0.0,0.0,127222.0,66.22143444792043,201.0,127222.0,121.77964502994764,287.0,127222.0
239,127,234,177,10262,0.024893899727993583,-0.9193901244609239,0.3925583941276254,-1.1672523746070875,0.02489647159611782,4.235858918874107,220.0,69203.0,0.0,0.0,69203.0,61.998396023293786,73.0,69203.0,178.1183330202448,220.0,69203.0
241,130,406,192,8527,0.7461201910980255,0.2892317501637075,0.5997079748786768,0.4493775889657714,0.8422157042074446,2.6284710177001775,31.0,62060.0,0.0,0.0,62060.0,18.23175421634977,25.0,62060.0,23.70118165216457,31.0,62060.0
