
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
551.261,385.177,39.7399,µm,Spot,Position Reference Frame,Reference Frame 1,1,103,
597.088,361.976,32.268,µm,Spot,Position Reference Frame,Reference Frame 1,1,104,
605.5,357.573,32.9485,µm,Spot,Position Reference Frame,Reference Frame 1,1,105,
413.145,466.782,36.2413,µm,Spot,Position Reference Frame,Reference Frame 1,1,106,
424.26,462.218,32.9863,µm,Spot,Position Reference Frame,Reference Frame 1,1,107,
466.541,437.767,34.4511,µm,Spot,Position Reference Frame,Reference Frame 1,1,108,
450.924,444.311,37.3385,µm,Spot,Position Reference Frame,Reference Frame 1,1,109,
426.764,454.659,37.0801,µm,Spot,Position Reference Frame,Reference Frame 1,1,110,
457.704,438.628,39.0792,µm,Spot,Position Reference Frame,Reference Frame 1,1,111,
480.792,427.104,34.454,µm,Spot,Position Reference Frame,Reference Frame 1,1,112,
502.969,415.62,34.9318,µm,Spot,Position Reference Frame,Reference Frame 1,1,113,
476.125,423.491,36.9848,µm,Spot,Position Reference Frame,Reference Frame 1,1,114,
496.954,415.839,38.0931,µm,Spot,Position Reference Frame,Reference Frame 1,1,115,
474.267,427.078,38.3346,µm,Spot,Position Reference Frame,Reference Frame 1,1,116,
272.245,526.281,38.091,µm,Spot,Position Reference Frame,Reference Frame 1,1,117,
326.676,511.39,32.044,µm,Spot,Position Reference Frame,Reference Frame 1,1,118,
350.118,498.309,33.8972,µm,Spot,Position Reference Frame,Reference Frame 1,1,119,
310.545,517.085,34.177,µm,Spot,Position Reference Frame,Reference Frame 1,1,120,
332.467,503.46,35.7182,µm,Spot,Position Reference Frame,Reference Frame 1,1,121,
352.588,491.597,39.8462,µm,Spot,Position Reference Frame,Reference Frame 1,1,122,
299.313,512.274,39.7778,µm,Spot,Position Reference Frame,Reference Frame 1,1,123,
392.63,483.807,32.549,µm,Spot,Position Reference Frame,Reference Frame 1,1,124,
365.978,493.13,34.872,µm,Spot,Position Reference Frame,Reference Frame 1,1,125,
378.373,484.405,38.9769,µm,Spot,Position Reference Frame,Reference Frame 1,1,126,
170.656,552.115,32.4853,µm,Spot,Position Reference Frame,Reference Frame 1,1,127,
160.006,545.769,33.7052,µm,Spot,Position Reference Frame,Reference Frame 1,1,128,
150.576,535.97,34.2639,µm,Spot,Position Reference Frame,Reference Frame 1,1,129,
170.131,544.957,35.0676,µm,Spot,Position Reference Frame,Reference Frame 1,1,130,
166.38,532.898,38.7967,µm,Spot,Position Reference Frame,Reference Frame 1,1,131,
201.988,556.978,32.4674,µm,Spot,Position Reference Frame,Reference Frame 1,1,132,
186.958,554.669,32.8312,µm,Spot,Position Reference Frame,Reference Frame 1,1,133,
193.959,556.283,33.1912,µm,Spot,Position Reference Frame,Reference Frame 1,1,134,
179.523,546,35.8658,µm,Spot,Position Reference Frame,Reference Frame 1,1,135,
217.928,553.334,35.5982,µm,Spot,Position Reference Frame,Reference Frame 1,1,136,
193.853,547.14,37.2477,µm,Spot,Position Reference Frame,Reference Frame 1,1,137,
187.982,543.5,38.3464,µm,Spot,Position Reference Frame,Reference Frame 1,1,138,
207.806,545.612,38.6704,µm,Spot,Position Reference Frame,Reference Frame 1,1,139,
263.313,539.588,33.6978,µm,Spot,Position Reference Frame,Reference Frame 1,1,140,
239.899,548.465,34.8388,µm,Spot,Position Reference Frame,Reference Frame 1,1,141,
249.366,542.864,35.6457,µm,Spot,Position Reference Frame,Reference Frame 1,1,142,
264.577,531.8,36.8686,µm,Spot,Position Reference Frame,Reference Frame 1,1,143,
469.625,158.131,40.8555,µm,Spot,Position Reference Frame,Reference Frame 1,1,144,
464.317,168.915,46.3786,µm,Spot,Position Reference Frame,Reference Frame 1,1,145,
531.213,164.903,41.2275,µm,Spot,Position Reference Frame,Reference Frame 1,1,146,
478.347,167.176,42.168,µm,Spot,Position Reference Frame,Reference Frame 1,1,147,
505.378,163.092,42.7832,µm,Spot,Position Reference Frame,Reference Frame 1,1,148,
514.589,165.56,43.5326,µm,Spot,Position Reference Frame,Reference Frame 1,1,149,
510.431,170.583,46.2885,µm,Spot,Position Reference Frame,Reference Frame 1,1,150,
523.848,176.888,46.4721,µm,Spot,Position Reference Frame,Reference Frame 1,1,151,
502.094,172.592,47.7405,µm,Spot,Position Reference Frame,Reference Frame 1,1,152,
535.729,172.955,45.884,µm,Spot,Position Reference Frame,Reference Frame 1,1,153,
559.531,181.507,40.8789,µm,Spot,Position Reference Frame,Reference Frame 1,1,154,
569.359,182.269,41.2768,µm,Spot,Position Reference Frame,Reference Frame 1,1,155,
549.39,179.504,44.0809,µm,Spot,Position Reference Frame,Reference Frame 1,1,156,
560.693,193.036,43.6483,µm,Spot,Position Reference Frame,Reference Frame 1,1,157,
569.257,193.412,44.4047,µm,Spot,Position Reference Frame,Reference Frame 1,1,158,
556.053,187.492,44.707,µm,Spot,Position Reference Frame,Reference Frame 1,1,159,
570.44,203.811,45.621,µm,Spot,Position Reference Frame,Reference Frame 1,1,160,
584.523,235.316,45.6017,µm,Spot,Position Reference Frame,Reference Frame 1,1,161,
573.118,216.882,46.3504,µm,Spot,Position Reference Frame,Reference Frame 1,1,162,
546.24,182.978,46.7293,µm,Spot,Position Reference Frame,Reference Frame 1,1,163,
559.345,210.214,46.8916,µm,Spot,Position Reference Frame,Reference Frame 1,1,164,
561.202,212.741,46.7528,µm,Spot,Position Reference Frame,Reference Frame 1,1,165,
577.2,232.631,47.4283,µm,Spot,Position Reference Frame,Reference Frame 1,1,166,
562.063,207.525,47.6899,µm,Spot,Position Reference Frame,Reference Frame 1,1,167,
562.941,238.734,46.6233,µm,Spot,Position Reference Frame,Reference Frame 1,1,168,
567.591,247.46,47.8499,µm,Spot,Position Reference Frame,Reference Frame 1,1,169,
545.669,260.863,47.6787,µm,Spot,Position Reference Frame,Reference Frame 1,1,170,
591.695,249.88,47.3228,µm,Spot,Position Reference Frame,Reference Frame 1,1,171,
620.451,331.68,40.2655,µm,Spot,Position Reference Frame,Reference Frame 1,1,172,
610.115,340.78,41.8197,µm,Spot,Position Reference Frame,Reference Frame 1,1,173,
604.352,346.157,42.6839,µm,Spot,Position Reference Frame,Reference Frame 1,1,174,
603.635,338.489,45.5409,µm,Spot,Position Reference Frame,Reference Frame 1,1,175,
609.576,323.544,46.7674,µm,Spot,Position Reference Frame,Reference Frame 1,1,176,
601.249,329.477,46.7825,µm,Spot,Position Reference Frame,Reference Frame 1,1,177,
238.774,407.631,47.5315,µm,Spot,Position Reference Frame,Reference Frame 1,1,178,
310.573,371.28,47.0952,µm,Spot,Position Reference Frame,Reference Frame 1,1,179,
429.321,406.895,47.4987,µm,Spot,Position Reference Frame,Reference Frame 1,1,180,
458.74,406.402,47.8562,µm,Spot,Position Reference Frame,Reference Frame 1,1,181,
514.463,403.031,42.0095,µm,Spot,Position Reference Frame,Reference Frame 1,1,182,
504.421,406.309,44.1555,µm,Spot,Position Reference Frame,Reference Frame 1,1,183,
492.019,410.131,45.752,µm,Spot,Position Reference Frame,Reference Frame 1,1,184,
578.243,365.031,41.7149,µm,Spot,Position Reference Frame,Reference Frame 1,1,185,
563.073,374.181,44.4278,µm,Spot,Position Reference Frame,Reference Frame 1,1,186,
557.632,378.653,44.3957,µm,Spot,Position Reference Frame,Reference Frame 1,1,187,
571.091,368.227,45.6672,µm,Spot,Position Reference Frame,Reference Frame 1,1,188,
574.312,362.913,46.7263,µm,Spot,Position Reference Frame,Reference Frame 1,1,189,
578.5,357.425,47.6536,µm,Spot,Position Reference Frame,Reference Frame 1,1,190,
593.886,356.958,40.3177,µm,Spot,Position Reference Frame,Reference Frame 1,1,191,
212.863,440.174,47.8008,µm,Spot,Position Reference Frame,Reference Frame 1,1,192,
225.213,443.841,47.9975,µm,Spot,Position Reference Frame,Reference Frame 1,1,193,
228.484,471.615,47.8435,µm,Spot,Position Reference Frame,Reference Frame 1,1,194,
293.676,423.784,47.1707,µm,Spot,Position Reference Frame,Reference Frame 1,1,195,
294.985,438.045,47.4745,µm,Spot,Position Reference Frame,Reference Frame 1,1,196,
238.017,455.197,47.9704,µm,Spot,Position Reference Frame,Reference Frame 1,1,197,
242.381,470.256,47.969,µm,Spot,Position Reference Frame,Reference Frame 1,1,198,
306.154,436.425,47.709,µm,Spot,Position Reference Frame,Reference Frame 1,1,199,
340.82,450.504,47.8169,µm,Spot,Position Reference Frame,Reference Frame 1,1,200,
304.569,465.271,47.9712,µm,Spot,Position Reference Frame,Reference Frame 1,1,201,
301.674,468.638,47.619,µm,Spot,Position Reference Frame,Reference Frame 1,1,202,
321.157,470.563,47.825,µm,Spot,Position Reference Frame,Reference Frame 1,1,203,
401.407,469.889,40.2714,µm,Spot,Position Reference Frame,Reference Frame 1,1,204,
408.332,455.775,46.2904,µm,Spot,Position Reference Frame,Reference Frame 1,1,205,
400.684,460.45,46.4299,µm,Spot,Position Reference Frame,Reference Frame 1,1,206,
362.209,428.536,47.462,µm,Spot,Position Reference Frame,Reference Frame 1,1,207,
387.299,465.676,47.0659,µm,Spot,Position Reference Frame,Reference Frame 1,1,208,
370.333,468.858,47.4612,µm,Spot,Position Reference Frame,Reference Frame 1,1,209,
407.362,447.757,47.6088,µm,Spot,Position Reference Frame,Reference Frame 1,1,210,
446.059,440.932,41.3601,µm,Spot,Position Reference Frame,Reference Frame 1,1,211,
463.301,430.886,42.3649,µm,Spot,Position Reference Frame,Reference Frame 1,1,212,
437.479,445.124,42.9011,µm,Spot,Position Reference Frame,Reference Frame 1,1,213,
472.167,421.185,43.9661,µm,Spot,Position Reference Frame,Reference Frame 1,1,214,
419.172,448.923,44.3345,µm,Spot,Position Reference Frame,Reference Frame 1,1,215,
452.975,433.927,45.9079,µm,Spot,Position Reference Frame,Reference Frame 1,1,216,
467.927,417.339,46.7848,µm,Spot,Position Reference Frame,Reference Frame 1,1,217,
459.453,424.978,46.5735,µm,Spot,Position Reference Frame,Reference Frame 1,1,218,
440.791,432.752,47.359,µm,Spot,Position Reference Frame,Reference Frame 1,1,219,
421.709,435.523,47.7302,µm,Spot,Position Reference Frame,Reference Frame 1,1,220,
478.236,417.161,46.1494,µm,Spot,Position Reference Frame,Reference Frame 1,1,221,
159.234,520.31,41.1065,µm,Spot,Position Reference Frame,Reference Frame 1,1,222,
175.129,526.535,42.3418,µm,Spot,Position Reference Frame,Reference Frame 1,1,223,
168.082,517.447,43.5546,µm,Spot,Position Reference Frame,Reference Frame 1,1,224,
