
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
536.766,327.95,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,140,
552.495,289.688,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,141,
474.087,294.176,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,142,
477.633,293.465,46.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,143,
469.129,426.26,39.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,144,
470.101,428.234,37.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,145,
473.934,437.303,22.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,146,
305.756,423.501,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,147,
221.445,555.816,32.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,148,
300.948,522.722,29.3572,µm,Spot,Position Reference Frame,Reference Frame 1,1,149,
298.398,472.895,44.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,150,
299.48,442.625,45.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,151,
137.898,551.32,21.8052,µm,Spot,Position Reference Frame,Reference Frame 1,1,152,
393.973,340.123,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,153,
394.276,336.8,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,154,
595.911,226.256,43.1698,µm,Spot,Position Reference Frame,Reference Frame 1,1,155,
611.032,287.432,46.8678,µm,Spot,Position Reference Frame,Reference Frame 1,1,156,
391.076,208.758,49.6321,µm,Spot,Position Reference Frame,Reference Frame 1,1,157,
440.418,167.149,43.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,158,
130.587,564.478,14.1414,µm,Spot,Position Reference Frame,Reference Frame 1,1,159,
211.832,421.533,45.9278,µm,Spot,Position Reference Frame,Reference Frame 1,1,160,
208.925,415.949,47.6673,µm,Spot,Position Reference Frame,Reference Frame 1,1,161,
239.563,381.436,48.0275,µm,Spot,Position Reference Frame,Reference Frame 1,1,162,
210.221,430.677,48.0011,µm,Spot,Position Reference Frame,Reference Frame 1,1,163,
208.954,419.956,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,164,
171.801,476.931,46.4264,µm,Spot,Position Reference Frame,Reference Frame 1,1,165,
472.89,165.626,36.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,166,
468.223,163.859,37.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,167,
551.035,186.995,47.147,µm,Spot,Position Reference Frame,Reference Frame 1,1,168,
349.885,227.35,48.1497,µm,Spot,Position Reference Frame,Reference Frame 1,1,169,
489.49,256.898,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,170,
214.503,399.487,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,171,
241.047,358.751,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,172,
535.158,401.343,26.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,173,
508.723,140.222,27.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,174,
509.701,142.811,27.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,175,
613.035,336.635,38.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,176,
614.228,339.922,37.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,177,
